epoch,train_loss,val_loss,train_acc,val_acc
6,0.17127051167250062,0.7079349176303761,0.9629629629629629,0.7837837837837838
7,0.09057245968020673,0.8467493621078698,0.9838969404186796,0.8108108108108109
8,0.04401479118268175,1.0144769952103898,0.9919484702093397,0.7837837837837838
9,0.026753548888156668,0.9638281351811177,0.9967793880837359,0.8108108108108109
10,0.020426039495497893,0.9871225614805479,0.9967793880837359,0.8108108108108109
8,0.04923966369815111,1.0620549885002342,0.9871175523349437,0.7567567567567568
9,0.017264210329587526,1.0795423050184507,0.998389694041868,0.8108108108108109
10,0.009565334567641194,1.1448312385662183,0.998389694041868,0.8108108108108109
11,0.006237264232928962,1.121926412389085,1.0,0.8108108108108109
12,0.004888877593544754,1.2840476712665043,1.0,0.7837837837837838
13,0.003523135765481158,1.2413564018301062,1.0,0.8108108108108109
14,0.0029084558307002754,1.256708515656961,1.0,0.8108108108108109
15,0.0028301790317643476,1.2530122512095683,1.0,0.8108108108108109
10,0.011428900097531301,1.244565235601889,0.9967793880837359,0.7837837837837838
11,0.005878069622880043,1.2267044621544916,0.998389694041868,0.8108108108108109
12,0.0027512311046844085,1.2715102466377053,1.0,0.8108108108108109
13,0.0022599746134947993,1.4041973030244983,1.0,0.7837837837837838
14,0.0019423796667083018,1.3993854973767255,1.0,0.8108108108108109
15,0.0032042195469713895,1.3971214906589404,0.998389694041868,0.8108108108108109
16,0.0018305157724806916,1.3625335757796828,1.0,0.8108108108108109
17,0.0013183414746351816,1.4258376456595756,1.0,0.8108108108108109
18,0.0016652769137296868,1.4354596975687388,1.0,0.8108108108108109
19,0.0012877538298585133,1.4327944388260712,1.0,0.8108108108108109
20,0.0012223676665147675,1.4338452590478432,1.0,0.8108108108108109
12,0.44357567584073104,1.2267045652544177,0.8582930756843801,0.8108108108108109
13,0.45870736169354354,1.2267045652544177,0.8534621578099839,0.8108108108108109
13,0.5442998916414625,1.2267045652544177,0.8389694041867954,0.8108108108108109
14,0.41229971892975764,1.2267045652544177,0.8695652173913043,0.8108108108108109
15,0.46183887858321704,1.2267045652544177,0.8486312399355878,0.8108108108108109
16,0.4640194783752091,1.2267045652544177,0.8615136876006442,0.8108108108108109
